skill;occurence
Système de rétention d'un arbre;1
Techniques d'ébranchage;1
Physiologie végétale;1
Caractéristiques des écosystèmes;6
Techniques de taille de végétaux;5
Techniques de coupe et d'abattage;1
Techniques de grimper;1
Techniques d'haubanage;1
Utilisation d'engins forestiers;1
Règles de sécurité;86
Utilisation d'outils de taille;10
Engins agricoles;13
Techniques d'affûtage;8
Techniques de soudage;17
Gestes et postures de manutention;61
Chiffrage/calcul de coût;66
Techniques de soins aux arbres ou ceps;2
Réglementation phytosanitaire;12
Logiciels de gestion de stocks;60
Gestion des stocks et des approvisionnements;65
Management;130
Techniques de débroussaillage;1
Techniques de fauchage;3
Techniques de faucardage;1
Pédologie (formation, évolution et caractéristiques des sols, ...);4
Techniques culturales;10
Techniques de maçonnerie;19
Botanique;8
Normes environnementales;53
Réglementation des espaces et espèces protégés;4
Classification des espèces animales;3
Lecture de plan, de schéma;68
Engins compacts (CACES R 482-A) - A partir du 01/01/2020;9
Plates-formes élévatrices mobiles de personnel (CACES R 486) - A partir du 01/01/2020;37
PEMP du groupe A (CACES R 486-A) - A partir du 01/01/2020;37
PEMP du groupe B (CACES R 486-B) - A partir du 01/01/2020;37
Conduite hors production des PEMP des types 1 et 3 (CACES R 486-C) - A partir du 01/01/2020;37
Grues de chargement (CACES R 490) - A partir du 01/01/2020;13
Tracteur et petits engins de chantiers mobiles (CACES R 372-1);8
Plates-formes élévatrices mobiles de personnes ou PEMP (CACES R 386);36
Grues auxiliaires de chargement de véhicules (CACES R 390);12
Tronçonnage;1
Techniques de taille des arbustes;1
Techniques d'élagage;3
Techniques de préservation de la biodiversité;4
Utilisation d'engins de tonte (autotracté/autoporté);2
Hydraulique;47
Techniques d'engazonnement;1
Techniques de terrassement;1
Techniques de maçonnerie paysagère;2
Caractéristiques des coffrages;5
Procédures d'entretiens de mobiliers urbains;2
Utilisation d'outillage mécanique;2
Domotique;8
Outils bureautiques;192
Outils de planification;14
Techniques pédagogiques;102
Normes de sécurité des espaces et des établissements recevant du public;16
Écologie;5
Protection et sauvegarde du milieu naturel;1
Prévention des risques environnementaux;6
Droit forestier;3
Droit rural;5
Réglementation de la chasse;1
Réglementation de la pêche;5
Utilisation de matériel de capture (seringue hypodermique, ...);1
Techniques de baguage;1
Techniques d'approche et de manipulation des animaux;14
Techniques d'inventaire;13
Techniques de comptage;13
Procédures d'échantillonnage;11
Règles de sécurité maritime;6
Pratique d'enherbement;1
Lecture de carte;1
Techniques de marquage;1
Techniques de cubage;2
Caractéristiques des parasites animaux et végétaux;3
Agronomie;6
Pathologies végétales;4
Gestion administrative;120
Gestion comptable;114
Réglementation sanitaire;11
Typologie des risques environnementaux et sanitaires;6
Pisciculture;2
Agriculture biologique;3
Production animale;2
Fiscalité;22
Veille informationnelle;17
Logiciels de gestion de base de données;13
Génie rural;2
Aménagement du territoire;6
Économie du développement durable;6
Économie sociale;8
Aquaculture;2
Élevage;8
Sylviculture;2
Techniques de maitrise des énergies;1
Techniques de traitement des eaux;4
Réglementation des Installations Classées pour la Protection de l'Environnement - ICPE;7
Qualité et traitement des eaux;1
Techniques de sauvegarde/mise en valeur du patrimoine naturel;1
Code des marchés publics;22
Bonnes Pratiques Agricoles (BPA);2
Biologie végétale;4
Biologie animale;4
Caractéristiques des produits chimiques;1
Produits phytosanitaires;5
Propriétés des produits vétérinaires;4
Pathologies animales;12
Prélèvement biologique;6
Utilisation d'outils de pesage/dosage (balance, verre doseur, ...);2
Normes qualité;89
Règles d'hygiène et de sécurité;25
Traçabilité des produits;6
Physiologie animale;2
Génétique animale;1
Biologie;11
Hydrobiologie;1
Toxicologie;7
Climatologie;2
Gestion de projet;74
Système d'Information Géographique (SIG);13
Analyse du Cycle de Vie - ACV des produits;14
Analyse physico-chimique environnementale;8
Audit environnemental;5
Techniques d'éclaircissage;1
Techniques d'ébourgeonnage;2
Techniques de palissage;1
Maintenance de premier niveau;12
Techniques de conditionnement;22
Outils manuels agricoles;2
Techniques d'effeuillage;3
Techniques de séchage;4
Techniques de désherbage;1
Techniques de rempotage;1
Réglementation d'Appellation d'Origine Contrôlée (AOC);6
Conchyliologie;2
Techniques de dessablage;1
Modalités de stockage de laine brute;2
Techniques de tonte d'ovins;2
Matériel de tonte animale;3
Procédure de traite;4
Installation d'un naissain;1
Utilisation de matériel de navigation;21
Lecture de carte marine;5
Utilisation d'outils à bois manuels;7
Chariots de manutention tout-terrain (CACES R 482-F) - A partir du 01/01/2020;7
Transpalettes et préparateurs sans élévation du poste de conduite (h < ou = à 1,20 m) (CACES R 489-1A) - A partir du 01/01/2020;57
Gerbeurs à conducteur porté (hauteur de levée > 1.20 m) (CACES R 489-1B - A partir du 01/01/2020;57
Chariots frontaux en porte-à-faux (capacité nominale < ou = à 6 tonnes) (CACES R 489-3) - A partir du 01/01/2020;63
Engins de manutention, chariot de chantier (CACES R 372-9);6
Transpalettes à conducteur porté et préparateurs de commandes au sol (CACES R 389-1);56
Chariots élévateurs en porte-à-faux de capacité inférieure ou égale à 6000 kg (CACES R 389-3);62
Utilisation de matériel de levage;11
Circuits de distribution commerciale;16
Techniques de taille de fructification;1
Variétés de fruits et légumes;2
Chariots frontaux en porte-à-faux (capacité nominale > 6 tonnes) (CACES R 489-4) - A partir du 01/01/2020;37
Chariots à mât rétractable (CACES R 489-5) - A partir du 01/01/2020;23
Chariots élévateurs en porte-à-faux de capacité supérieure à 6000 kg (CACES R 389-4);36
Chariots élévateurs à mât rétractable (CACES R 389-5);22
Vinification;2
Utilisation d'alcoomètre;2
Spécificités de stockage des vins;2
Analyse chimique;2
Techniques d'embouteillage;2
Utilisation d'équipement de secours et de sauvetage;5
Météorologie;5
Typologie des navires;3
Droit maritime;8
Techniques de sauvetage et secourisme;11
Pêche;5
Économie des pêches;1
Anglais maritime;2
Langage Morse;1
Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...);2
Logiciel de calcul de ration alimentaire;4
Zootechnie;3
Procédures de nettoyage et de désinfection;26
Mécanique;83
Matériel de contention animale;3
Utilisation de matériel de nettoyage;28
Potentiel généalogique;3
Méthodes d'insémination;2
Stockage de produits alimentaires;9
Matériel de traite;3
Modalité de stockage du lait;3
Techniques de maréchalerie;1
Techniques de toilettage;2
Techniques de débourrage;1
Techniques de soudure;29
Éthologie;1
Annexes Convention de Washington (CITES);2
Récolte du miel;1
Techniques de dressage;2
Modalités de stockage;17
Installations énergétiques;1
Procédés d'accouvage;1
Techniques de contention animale;2
