skill,occurence

Microsoft,10

Sauvegarde,10

Virtualisation,11

UNIX,11

OpenVPN,10

Maintenance des systèmes,10

Gestion des applications,10

Antivirus,10

Anti-Spam,10

Assistance aux utilisateurs,11

Créativité,345

Persuasion,338

Adaptabilité,344

Administrateur de la messagerie,10

Amazon Web Services (AWS),12

Collaboration,347

Gestion de la base de données,13

Gestion du temps,342

MacOS,10

Test de logiciels,10

Leadership,23

Capacité d'écoute,4

Communication interne,14

Réseaux sociaux,34

Contrôle interne,22

Conception de produits,12

Gestion de portefeuille de projets,3

Gestion de projets,204

Lean Management,4

Lean Six Sigma,3

Logiciels de gestion d'entreprise SAP,3

Marketing Digital,18

Méthode Agile,15

Planification de projets,22

Prise de parole en public,62

Analyse financière,58

Banque privée,6

Collecte de fonds,6

Conformité réglementaire,9

Développement commercial,55

Droit des contrats,28

Épargne-retraite,6

Fiscalité,12

Gestion d'actifs,25

Gestion de portefeuille,52

Négociation,42

Négociation de contrats,5

Service clients,89

Défiscalisation,6

Gestion des crédits,3

Audit,11

Gestion des risques,47

Due Diligence,24

Kondor+,6

Logiciels Bloomberg,19

Modélisation financière,23

Reporting financier,14

Reuters,6

FX All,6

Support technique,4

Anglais,137

Communication stratégique,8

Développement organisationnel,5

Gestion d'équipe,26

Gestion de la relation avec les partenaires,26

Gestion du changement,23

Gouvernance d'entreprise,15

Management,78

Planification stratégique,35

Politiques et procédures,5

Relations publiques,24

Stratégie marketing,25

Gestion des performances,15

Étude de marché,12

Expérience utilisateur,2

Marketing,26

Merchandising,5

Publicité,8

Solides compétences analytiques,2

Stratégie numérique,3

E-réputation,1

Production de contenus,1

Gestion du site internet,2

stratégie digitale,4

E-mailing,1

Plans Média,1

Newsletter,3

InDesign,8

Adobe Illustrator,12

Adobe Photoshop,15

Newsletters,2

SEO,2

Communication verbale,14

Esprit d'initiative,15

Recrutement,22

Prévisions,2

Autonomie,14

Stratégie commerciale,21

Ténacité,13

Apprentissage collaboratif,1

Négociations,38

Orienté client,1

Performance de projet,1

Reporting et analyses,8

SAP,47

IFRS,13

Oracle,9

SAGE,16

Budget,18

Consolidation,15

Finance d'entreprise,23

